Season,G,Team,Name,Date,At,Opp,W/L,OPts,Location,DPts,Opp_Name,ORtg,DRtg,Pace,Win
2019,1,ATL,Atlanta Hawks,2018-10-17,@,NYK,L,107,Away,126,New York Knicks,93.8,110.5,114.0,0
2019,2,ATL,Atlanta Hawks,2018-10-19,@,MEM,L,117,Away,131,Memphis Grizzlies,109.9,123.1,106.5,0
2019,3,ATL,Atlanta Hawks,2018-10-21,@,CLE,W,133,Away,111,Cleveland Cavaliers,125.5,104.7,106.0,1
2019,4,ATL,Atlanta Hawks,2018-10-24,,DAL,W,111,Home,104,Dallas Mavericks,102.7,96.2,108.1,1
2019,5,ATL,Atlanta Hawks,2018-10-27,,CHI,L,85,Home,97,Chicago Bulls,82.3,94.0,103.2,0
2019,6,ATL,Atlanta Hawks,2018-10-29,@,PHI,L,92,Away,113,Philadelphia 76ers,86.4,106.1,106.5,0
2019,7,ATL,Atlanta Hawks,2018-10-30,@,CLE,L,114,Away,136,Cleveland Cavaliers,107.3,128.0,106.2,0
2019,8,ATL,Atlanta Hawks,2018-11-01,,SAC,L,115,Home,146,Sacramento Kings,101.9,129.4,112.9,0
2019,9,ATL,Atlanta Hawks,2018-11-03,,MIA,W,123,Home,118,Miami Heat,120.6,115.7,102.0,1
2019,10,ATL,Atlanta Hawks,2018-11-06,@,CHO,L,102,Away,113,Charlotte Hornets,94.5,104.6,108.0,0
2019,11,ATL,Atlanta Hawks,2018-11-07,,NYK,L,107,Home,112,New York Knicks,104.3,109.2,102.5,0
2019,12,ATL,Atlanta Hawks,2018-11-09,,DET,L,109,Home,124,Detroit Pistons,105.4,119.9,103.4,0
2019,13,ATL,Atlanta Hawks,2018-11-11,@,LAL,L,106,Away,107,Los Angeles Lakers,100.6,101.5,105.4,0
2019,14,ATL,Atlanta Hawks,2018-11-13,@,GSW,L,103,Away,110,Golden State Warriors,104.7,111.9,98.3,0
2019,15,ATL,Atlanta Hawks,2018-11-15,@,DEN,L,93,Away,138,Denver Nuggets,87.6,130.0,106.2,0
2019,16,ATL,Atlanta Hawks,2018-11-17,@,IND,L,89,Away,97,Indiana Pacers,82.1,89.5,108.4,0
2019,17,ATL,Atlanta Hawks,2018-11-19,,LAC,L,119,Home,127,Los Angeles Clippers,110.0,117.4,108.1,0
2019,18,ATL,Atlanta Hawks,2018-11-21,,TOR,L,108,Home,124,Toronto Raptors,107.2,123.1,100.7,0
2019,19,ATL,Atlanta Hawks,2018-11-23,,BOS,L,96,Home,114,Boston Celtics,89.6,106.4,107.1,0
2019,20,ATL,Atlanta Hawks,2018-11-25,,CHO,W,124,Home,123,Charlotte Hornets,120.8,119.8,102.6,1
2019,21,ATL,Atlanta Hawks,2018-11-27,@,MIA,W,115,Away,113,Miami Heat,107.8,105.9,106.7,1
2019,22,ATL,Atlanta Hawks,2018-11-28,@,CHO,L,94,Away,108,Charlotte Hornets,90.4,103.8,104.0,0
2019,23,ATL,Atlanta Hawks,2018-11-30,@,OKC,L,109,Away,124,Oklahoma City Thunder,100.4,114.3,108.5,0
2019,24,ATL,Atlanta Hawks,2018-12-03,,GSW,L,111,Home,128,Golden State Warriors,104.7,120.7,106.0,0
2019,25,ATL,Atlanta Hawks,2018-12-05,,WAS,L,117,Home,131,Washington Wizards,105.4,118.0,111.1,0
2019,26,ATL,Atlanta Hawks,2018-12-08,,DEN,W,106,Home,98,Denver Nuggets,99.5,92.0,106.6,1
2019,27,ATL,Atlanta Hawks,2018-12-12,@,DAL,L,107,Away,114,Dallas Mavericks,105.6,112.5,101.3,0
2019,28,ATL,Atlanta Hawks,2018-12-14,@,BOS,L,108,Away,129,Boston Celtics,100.9,120.5,107.0,0
2019,29,ATL,Atlanta Hawks,2018-12-16,@,BRK,L,127,Away,144,Brooklyn Nets,125.4,142.2,101.2,0
2019,30,ATL,Atlanta Hawks,2018-12-18,,WAS,W,118,Home,110,Washington Wizards,114.2,106.4,103.3,1
2019,31,ATL,Atlanta Hawks,2018-12-21,@,NYK,W,114,Away,107,New York Knicks,112.8,105.9,101.1,1
2019,32,ATL,Atlanta Hawks,2018-12-23,@,DET,W,98,Away,95,Detroit Pistons,96.3,93.4,101.8,1
2019,33,ATL,Atlanta Hawks,2018-12-26,,IND,L,121,Home,129,Indiana Pacers,117.2,124.9,103.3,0
2019,34,ATL,Atlanta Hawks,2018-12-28,@,MIN,W,123,Away,120,Minnesota Timberwolves,110.4,107.7,100.9,1
2019,35,ATL,Atlanta Hawks,2018-12-29,,CLE,W,111,Home,108,Cleveland Cavaliers,111.3,108.3,99.8,1
2019,36,ATL,Atlanta Hawks,2018-12-31,@,IND,L,108,Away,116,Indiana Pacers,111.4,119.7,96.9,0
2019,37,ATL,Atlanta Hawks,2019-01-02,@,WAS,L,98,Away,114,Washington Wizards,98.4,114.4,99.6,0
2019,38,ATL,Atlanta Hawks,2019-01-04,@,MIL,L,112,Away,144,Milwaukee Bucks,99.8,128.3,112.3,0
2019,39,ATL,Atlanta Hawks,2019-01-06,,MIA,W,106,Home,82,Miami Heat,108.3,83.8,97.8,1
2019,40,ATL,Atlanta Hawks,2019-01-08,@,TOR,L,101,Away,104,Toronto Raptors,96.4,99.3,104.8,0
2019,41,ATL,Atlanta Hawks,2019-01-09,@,BRK,L,100,Away,116,Brooklyn Nets,93.2,108.1,107.3,0
2019,42,ATL,Atlanta Hawks,2019-01-11,@,PHI,W,123,Away,121,Philadelphia 76ers,125.4,123.3,98.1,1
2019,43,ATL,Atlanta Hawks,2019-01-13,,MIL,L,114,Home,133,Milwaukee Bucks,103.4,120.7,110.2,0
2019,44,ATL,Atlanta Hawks,2019-01-15,,OKC,W,142,Home,126,Oklahoma City Thunder,134.8,119.6,105.4,1
2019,45,ATL,Atlanta Hawks,2019-01-19,,BOS,L,105,Home,113,Boston Celtics,103.8,111.7,101.1,0
2019,46,ATL,Atlanta Hawks,2019-01-21,,ORL,L,103,Home,122,Orlando Magic,103.2,122.2,99.8,0
2019,47,ATL,Atlanta Hawks,2019-01-23,@,CHI,W,121,Away,101,Chicago Bulls,123.7,103.3,97.8,1
2019,48,ATL,Atlanta Hawks,2019-01-26,@,POR,L,111,Away,120,Portland Trail Blazers,110.7,119.6,100.3,0
2019,49,ATL,Atlanta Hawks,2019-01-28,@,LAC,W,123,Away,118,Los Angeles Clippers,124.3,119.2,99.0,1
2019,50,ATL,Atlanta Hawks,2019-01-30,@,SAC,L,113,Away,135,Sacramento Kings,106.9,127.7,105.7,0
2019,51,ATL,Atlanta Hawks,2019-02-01,@,UTA,L,112,Away,128,Utah Jazz,106.2,121.4,105.4,0
2019,52,ATL,Atlanta Hawks,2019-02-02,@,PHO,W,118,Away,112,Phoenix Suns,115.9,110.0,101.8,1
2019,53,ATL,Atlanta Hawks,2019-02-04,@,WAS,W,137,Away,129,Washington Wizards,134.4,126.6,101.9,1
2019,54,ATL,Atlanta Hawks,2019-02-07,,TOR,L,101,Home,119,Toronto Raptors,104.2,122.7,96.9,0
2019,55,ATL,Atlanta Hawks,2019-02-09,,CHO,L,120,Home,129,Charlotte Hornets,121.6,130.7,98.7,0
2019,56,ATL,Atlanta Hawks,2019-02-10,,ORL,L,108,Home,124,Orlando Magic,112.9,129.6,95.7,0
2019,57,ATL,Atlanta Hawks,2019-02-12,,LAL,W,117,Home,113,Los Angeles Lakers,103.7,100.1,112.9,1
2019,58,ATL,Atlanta Hawks,2019-02-14,,NYK,L,91,Home,106,New York Knicks,93.8,109.3,97.0,0
2019,59,ATL,Atlanta Hawks,2019-02-22,,DET,L,122,Home,125,Detroit Pistons,118.6,121.5,102.9,0
2019,60,ATL,Atlanta Hawks,2019-02-23,,PHO,W,120,Home,112,Phoenix Suns,113.3,105.7,105.9,1
2019,61,ATL,Atlanta Hawks,2019-02-25,@,HOU,L,111,Away,119,Houston Rockets,114.2,122.4,97.2,0
2019,62,ATL,Atlanta Hawks,2019-02-27,,MIN,W,131,Home,123,Minnesota Timberwolves,117.1,110.0,101.3,1
2019,63,ATL,Atlanta Hawks,2019-03-01,,CHI,L,161,Home,168,Chicago Bulls,112.6,117.4,101.0,0
2019,64,ATL,Atlanta Hawks,2019-03-03,@,CHI,W,123,Away,118,Chicago Bulls,119.9,115.0,102.6,1
2019,65,ATL,Atlanta Hawks,2019-03-04,@,MIA,L,113,Away,114,Miami Heat,115.2,116.2,98.1,0
2019,66,ATL,Atlanta Hawks,2019-03-06,,SAS,L,104,Home,111,San Antonio Spurs,99.7,106.4,104.4,0
2019,67,ATL,Atlanta Hawks,2019-03-09,,BRK,L,112,Home,114,Brooklyn Nets,106.0,107.9,105.7,0
2019,68,ATL,Atlanta Hawks,2019-03-10,,NOP,W,128,Home,116,New Orleans Pelicans,121.8,110.4,105.1,1
2019,69,ATL,Atlanta Hawks,2019-03-13,,MEM,W,132,Home,111,Memphis Grizzlies,130.0,109.3,101.6,1
2019,70,ATL,Atlanta Hawks,2019-03-16,@,BOS,L,120,Away,129,Boston Celtics,112.6,121.0,106.6,0
2019,71,ATL,Atlanta Hawks,2019-03-17,@,ORL,L,91,Away,101,Orlando Magic,87.9,97.6,103.5,0
2019,72,ATL,Atlanta Hawks,2019-03-19,,HOU,L,105,Home,121,Houston Rockets,106.4,122.6,98.7,0
2019,73,ATL,Atlanta Hawks,2019-03-21,,UTA,W,117,Home,114,Utah Jazz,113.3,110.3,103.3,1
2019,74,ATL,Atlanta Hawks,2019-03-23,,PHI,W,129,Home,127,Philadelphia 76ers,120.3,118.4,107.2,1
2019,75,ATL,Atlanta Hawks,2019-03-26,@,NOP,W,130,Away,120,New Orleans Pelicans,115.1,106.2,112.9,1
2019,76,ATL,Atlanta Hawks,2019-03-29,,POR,L,98,Home,118,Portland Trail Blazers,97.2,117.0,100.8,0
2019,77,ATL,Atlanta Hawks,2019-03-31,,MIL,W,136,Home,135,Milwaukee Bucks,116.3,115.5,105.9,1
2019,78,ATL,Atlanta Hawks,2019-04-02,@,SAS,L,111,Away,117,San Antonio Spurs,109.5,115.4,101.4,0
2019,79,ATL,Atlanta Hawks,2019-04-03,,PHI,W,130,Home,122,Philadelphia 76ers,128.0,120.2,101.5,1
2019,80,ATL,Atlanta Hawks,2019-04-05,@,ORL,L,113,Away,149,Orlando Magic,101.9,134.4,110.9,0
2019,81,ATL,Atlanta Hawks,2019-04-07,@,MIL,L,107,Away,115,Milwaukee Bucks,99.3,106.8,107.7,0
2019,82,ATL,Atlanta Hawks,2019-04-10,,IND,L,134,Home,135,Indiana Pacers,124.4,125.3,107.7,0
2019,1,BOS,Boston Celtics,2018-10-16,,PHI,W,105,Home,87,Philadelphia 76ers,100.2,83.0,104.8,1
