Season,G,Team,Name,Date,At,Opp,W/L,OPts,Location,DPts,Opp_Name,ORtg,DRtg,Pace,Win
2024,1,ATL,Atlanta Hawks,10/25/2023,@,CHO,L,110,Away,116,Charlotte Hornets,106.4,112.2,103.4,0
2024,2,ATL,Atlanta Hawks,10/27/2023,,NYK,L,120,Home,126,New York Knicks,115.9,121.7,103.5,0
2024,3,ATL,Atlanta Hawks,10/29/2023,@,MIL,W,127,Away,110,Milwaukee Bucks,123.1,106.6,103.2,1
2024,4,ATL,Atlanta Hawks,10/30/2023,,MIN,W,127,Home,113,Minnesota Timberwolves,128.7,114.5,98.7,1
2024,5,ATL,Atlanta Hawks,11/1/2023,,WAS,W,130,Home,121,Washington Wizards,117.7,109.6,110.4,1
2024,6,ATL,Atlanta Hawks,11/4/2023,@,NOP,W,123,Away,105,New Orleans Pelicans,131.4,112.2,93.6,1
2024,7,ATL,Atlanta Hawks,11/6/2023,@,OKC,L,117,Away,126,Oklahoma City Thunder,113.6,122.3,103,0
2024,8,ATL,Atlanta Hawks,11/9/2023,@,ORL,W,120,Away,119,Orlando Magic,115.5,114.6,103.9,1
2024,9,ATL,Atlanta Hawks,11/11/2023,,MIA,L,109,Home,117,Miami Heat,108.8,116.8,100.2,0
2024,10,ATL,Atlanta Hawks,11/14/2023,@,DET,W,126,Away,120,Detroit Pistons,125.1,119.1,100.7,1
2024,11,ATL,Atlanta Hawks,11/15/2023,,NYK,L,114,Home,116,New York Knicks,120,122.1,95,0
2024,12,ATL,Atlanta Hawks,11/17/2023,,PHI,L,116,Home,126,Philadelphia 76ers,117.7,127.9,98.5,0
2024,13,ATL,Atlanta Hawks,11/21/2023,,IND,L,152,Home,157,Indiana Pacers,139.5,144.1,108.9,0
2024,14,ATL,Atlanta Hawks,11/22/2023,,BRK,W,147,Home,145,Brooklyn Nets,127.4,125.7,104.5,1
2024,15,ATL,Atlanta Hawks,11/25/2023,@,WAS,W,136,Away,108,Washington Wizards,132.7,105.4,102.5,1
2024,16,ATL,Atlanta Hawks,11/26/2023,@,BOS,L,103,Away,113,Boston Celtics,105.5,115.8,97.6,0
2024,17,ATL,Atlanta Hawks,11/28/2023,@,CLE,L,105,Away,128,Cleveland Cavaliers,101,123.1,104,0
2024,18,ATL,Atlanta Hawks,11/30/2023,@,SAS,W,137,Away,135,San Antonio Spurs,127.1,125.2,107.8,1
2024,19,ATL,Atlanta Hawks,12/2/2023,@,MIL,L,121,Away,132,Milwaukee Bucks,118.4,129.1,102.2,0
2024,20,ATL,Atlanta Hawks,12/6/2023,,BRK,L,113,Home,114,Brooklyn Nets,111.4,112.4,101.4,0
2024,21,ATL,Atlanta Hawks,12/8/2023,@,PHI,L,114,Away,125,Philadelphia 76ers,115.5,126.7,98.7,0
2024,22,ATL,Atlanta Hawks,12/11/2023,,DEN,L,122,Home,129,Denver Nuggets,124.1,131.2,98.3,0
2024,23,ATL,Atlanta Hawks,12/13/2023,@,TOR,L,128,Away,135,Toronto Raptors,126.3,133.2,101.3,0
2024,24,ATL,Atlanta Hawks,12/15/2023,@,TOR,W,125,Away,104,Toronto Raptors,126.9,105.6,98.5,1
2024,25,ATL,Atlanta Hawks,12/16/2023,@,CLE,L,119,Away,127,Cleveland Cavaliers,122.3,130.5,97.3,0
2024,26,ATL,Atlanta Hawks,12/18/2023,,DET,W,130,Home,124,Detroit Pistons,127.4,121.5,102,1
2024,27,ATL,Atlanta Hawks,12/20/2023,@,HOU,W,134,Away,127,Houston Rockets,135.4,128.3,99,1
2024,28,ATL,Atlanta Hawks,12/22/2023,@,MIA,L,113,Away,122,Miami Heat,111.6,120.5,101.2,0
2024,29,ATL,Atlanta Hawks,12/23/2023,,MEM,L,119,Home,125,Memphis Grizzlies,118.5,124.5,100.4,0
2024,30,ATL,Atlanta Hawks,12/26/2023,@,CHI,L,113,Away,118,Chicago Bulls,117.6,122.8,96.1,0
2024,31,ATL,Atlanta Hawks,12/29/2023,,SAC,L,110,Home,117,Sacramento Kings,110.9,117.9,99.2,0
2024,32,ATL,Atlanta Hawks,12/31/2023,@,WAS,W,130,Away,126,Washington Wizards,119.3,115.6,109,1
2024,33,ATL,Atlanta Hawks,1/3/2024,,OKC,W,141,Home,138,Oklahoma City Thunder,135,132.1,104.4,1
2024,34,ATL,Atlanta Hawks,1/5/2024,@,IND,L,116,Away,150,Indiana Pacers,111.7,144.4,103.9,0
2024,35,ATL,Atlanta Hawks,1/7/2024,@,ORL,L,110,Away,117,Orlando Magic,103.1,109.6,96.6,0
2024,36,ATL,Atlanta Hawks,1/10/2024,,PHI,W,139,Home,132,Philadelphia 76ers,123.1,116.9,102.3,1
2024,37,ATL,Atlanta Hawks,1/12/2024,,IND,L,108,Home,126,Indiana Pacers,108,126.1,100,0
2024,38,ATL,Atlanta Hawks,1/13/2024,,WAS,L,99,Home,127,Washington Wizards,94.4,121.2,104.8,0
2024,39,ATL,Atlanta Hawks,1/15/2024,,SAS,W,109,Home,99,San Antonio Spurs,101.2,91.9,107.7,1
2024,40,ATL,Atlanta Hawks,1/17/2024,,ORL,W,106,Home,104,Orlando Magic,112.7,110.6,94.1,1
2024,41,ATL,Atlanta Hawks,1/19/2024,@,MIA,W,109,Away,108,Miami Heat,113.7,112.7,95.9,1
2024,42,ATL,Atlanta Hawks,1/20/2024,,CLE,L,95,Home,116,Cleveland Cavaliers,95.5,116.6,99.4,0
2024,43,ATL,Atlanta Hawks,1/22/2024,@,SAC,L,107,Away,122,Sacramento Kings,105.7,120.5,101.3,0
2024,44,ATL,Atlanta Hawks,1/24/2024,@,GSW,L,112,Away,134,Golden State Warriors,112.4,134.5,99.6,0
2024,45,ATL,Atlanta Hawks,1/26/2024,,DAL,L,143,Home,148,Dallas Mavericks,139,143.8,102.9,0
2024,46,ATL,Atlanta Hawks,1/28/2024,,TOR,W,126,Home,125,Toronto Raptors,124.4,123.4,101.3,1
2024,47,ATL,Atlanta Hawks,1/30/2024,,LAL,W,138,Home,122,Los Angeles Lakers,130.3,115.2,105.9,1
2024,48,ATL,Atlanta Hawks,2/2/2024,,PHO,W,129,Home,120,Phoenix Suns,129.2,120.2,99.9,1
2024,49,ATL,Atlanta Hawks,2/3/2024,,GSW,W,141,Home,134,Golden State Warriors,122.2,116.1,104.5,1
2024,50,ATL,Atlanta Hawks,2/5/2024,,LAC,L,144,Home,149,Los Angeles Clippers,142.6,147.6,101,0
2024,51,ATL,Atlanta Hawks,2/7/2024,@,BOS,L,117,Away,125,Boston Celtics,112.6,120.3,103.9,0
2024,52,ATL,Atlanta Hawks,2/9/2024,@,PHI,W,127,Away,121,Philadelphia 76ers,130,123.8,97.7,1
2024,53,ATL,Atlanta Hawks,2/10/2024,,HOU,W,122,Home,113,Houston Rockets,116.5,107.9,104.7,1
2024,54,ATL,Atlanta Hawks,2/12/2024,,CHI,L,126,Home,136,Chicago Bulls,123.5,133.3,102,0
2024,55,ATL,Atlanta Hawks,2/14/2024,@,CHO,L,99,Away,122,Charlotte Hornets,103.2,127.2,95.9,0
2024,56,ATL,Atlanta Hawks,2/23/2024,,TOR,L,121,Home,123,Toronto Raptors,117.9,119.8,102.6,0
2024,57,ATL,Atlanta Hawks,2/25/2024,,ORL,W,109,Home,92,Orlando Magic,113.1,95.5,96.4,1
2024,58,ATL,Atlanta Hawks,2/27/2024,,UTA,W,124,Home,97,Utah Jazz,118.8,92.9,104.4,1
2024,59,ATL,Atlanta Hawks,2/29/2024,@,BRK,L,97,Away,124,Brooklyn Nets,99.9,127.7,97.1,0
2024,60,ATL,Atlanta Hawks,3/2/2024,@,BRK,L,102,Away,114,Brooklyn Nets,108.9,121.7,93.7,0
2024,61,ATL,Atlanta Hawks,3/5/2024,@,NYK,W,116,Away,100,New York Knicks,121.6,104.8,95.4,1
2024,62,ATL,Atlanta Hawks,3/6/2024,,CLE,W,112,Home,101,Cleveland Cavaliers,116.1,104.7,96.4,1
2024,63,ATL,Atlanta Hawks,3/8/2024,@,MEM,W,99,Away,92,Memphis Grizzlies,111.2,103.3,89.1,1
2024,64,ATL,Atlanta Hawks,3/10/2024,,NOP,L,103,Home,116,New Orleans Pelicans,111,125.1,92.8,0
2024,65,ATL,Atlanta Hawks,3/13/2024,@,POR,L,102,Away,106,Portland Trail Blazers,107,111.2,95.3,0
2024,66,ATL,Atlanta Hawks,3/15/2024,@,UTA,L,122,Away,124,Utah Jazz,122.6,124.6,99.5,0
2024,67,ATL,Atlanta Hawks,3/17/2024,@,LAC,W,110,Away,93,Los Angeles Clippers,119.6,101.1,92,1
2024,68,ATL,Atlanta Hawks,3/18/2024,@,LAL,L,105,Away,136,Los Angeles Lakers,103.8,134.4,101.2,0
2024,69,ATL,Atlanta Hawks,3/21/2024,@,PHO,L,115,Away,128,Phoenix Suns,119.7,133.2,96.1,0
2024,70,ATL,Atlanta Hawks,3/23/2024,,CHO,W,132,Home,91,Charlotte Hornets,143.7,99.1,91.9,1
2024,71,ATL,Atlanta Hawks,3/25/2024,,BOS,W,120,Home,118,Boston Celtics,128.1,126,93.7,1
2024,72,ATL,Atlanta Hawks,3/27/2024,,POR,W,120,Home,106,Portland Trail Blazers,119.4,105.4,100.5,1
2024,73,ATL,Atlanta Hawks,3/28/2024,,BOS,W,123,Home,122,Boston Celtics,120.6,119.6,92.4,1
2024,74,ATL,Atlanta Hawks,3/30/2024,,MIL,L,113,Home,122,Milwaukee Bucks,114.9,124,98.4,0
2024,75,ATL,Atlanta Hawks,4/1/2024,@,CHI,W,113,Away,101,Chicago Bulls,119.4,106.8,94.6,1
2024,76,ATL,Atlanta Hawks,4/3/2024,,DET,W,121,Home,113,Detroit Pistons,116.3,108.6,104.1,1
2024,77,ATL,Atlanta Hawks,4/4/2024,@,DAL,L,95,Away,109,Dallas Mavericks,92.2,105.8,103.1,0
2024,78,ATL,Atlanta Hawks,4/6/2024,@,DEN,L,110,Away,142,Denver Nuggets,105.8,136.6,103.9,0
2024,79,ATL,Atlanta Hawks,4/9/2024,,MIA,L,111,Home,117,Miami Heat,99.8,105.2,92,0
2024,80,ATL,Atlanta Hawks,4/10/2024,,CHO,L,114,Home,115,Charlotte Hornets,117.5,118.5,97,0
2024,81,ATL,Atlanta Hawks,4/12/2024,@,MIN,L,106,Away,109,Minnesota Timberwolves,105.4,108.4,100.5,0
